               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.02408,            0.023654,           0.0017022,             0.87245,              0.8451,             0.90124,             0.71029,            0.020868,            0.014006,           0.0006956,           0.0092476,           0.0092476,           0.0092476
                  78,            0.024419,            0.024036,           0.0015609,             0.85249,             0.84356,             0.89359,             0.71079,             0.02088,            0.014069,          0.00079935,           0.0092377,           0.0092377,           0.0092377
                  79,            0.024272,            0.023085,           0.0017664,             0.84957,             0.86255,             0.90021,             0.70831,            0.020821,            0.014078,          0.00089619,           0.0092278,           0.0092278,           0.0092278
                  80,            0.024079,            0.023647,           0.0016297,             0.85571,              0.8518,             0.89013,             0.70487,            0.021709,            0.014046,          0.00088585,           0.0092179,           0.0092179,           0.0092179
                  81,            0.023764,            0.023449,           0.0016514,             0.84732,             0.85835,             0.88812,             0.70932,            0.021187,            0.014056,          0.00083253,            0.009208,            0.009208,            0.009208
                  82,            0.023561,            0.023613,           0.0015722,              0.8339,              0.8641,             0.89439,             0.71344,            0.020945,            0.014008,          0.00086331,           0.0091981,           0.0091981,           0.0091981
                  83,            0.024041,            0.023406,           0.0016589,             0.84676,              0.8565,             0.89412,              0.7132,            0.021335,            0.014007,           0.0010102,           0.0091882,           0.0091882,           0.0091882
                  84,            0.023698,            0.023184,           0.0016527,             0.83895,             0.87267,             0.89172,             0.71036,            0.020799,            0.013889,          0.00067096,           0.0091783,           0.0091783,           0.0091783
                  85,             0.02424,            0.023632,           0.0017557,             0.84163,             0.86664,             0.89525,              0.7159,            0.020606,            0.013894,          0.00072307,           0.0091684,           0.0091684,           0.0091684
                  86,            0.024125,            0.023221,           0.0016739,             0.84698,             0.87486,             0.89752,             0.71991,            0.020923,            0.014078,          0.00072791,           0.0091585,           0.0091585,           0.0091585
                  87,            0.023667,            0.022771,           0.0016018,             0.84765,             0.87108,             0.89553,               0.714,            0.020588,            0.013891,          0.00069599,           0.0091486,           0.0091486,           0.0091486
